,id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
3382,7164932,dd3c23d9f3fa,0,65,191,12826,3,131402,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:46,2020-04-07 12:40:47
3383,7167792,dd3c23d9f3fa,0,65,191,12826,3,131402,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:46,2020-04-07 12:40:46
3384,7167818,dd3c23d9f3fa,0,56,200,12826,3,131402,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:46,2020-04-07 12:40:46
3385,7167887,dd3c23d9f3fa,0,56,200,12826,3,131411,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:48,2020-04-07 12:40:48
3386,7167487,dd3c23d9f3fa,0,56,200,12826,3,131411,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:48,2020-04-07 12:40:55
3387,7169080,dd3c23d9f3fa,0,64,192,12826,3,131415,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:49,2020-04-07 12:40:49
3388,7167360,dd3c23d9f3fa,0,64,192,12826,3,131415,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:49,2020-04-07 12:40:54
3389,7169939,dd3c23d9f3fa,0,81,175,12826,3,131426,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:52,2020-04-07 12:40:52
3390,7168459,dd3c23d9f3fa,0,81,175,12826,3,131426,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:52,2020-04-07 12:40:57
3391,7170564,dd3c23d9f3fa,0,57,199,12826,3,131441,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:55,2020-04-07 12:41:04
3392,7170873,dd3c23d9f3fa,0,64,192,12826,3,131440,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:55,2020-04-07 12:40:55
3393,7168857,dd3c23d9f3fa,0,64,192,12826,3,131440,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:55,2020-04-07 12:40:59
3394,7171309,dd3c23d9f3fa,0,57,199,12826,3,131441,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:55,2020-04-07 12:40:55
3395,7171629,dd3c23d9f3fa,0,70,186,12826,3,131446,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:56,2020-04-07 12:40:56
3396,7169502,dd3c23d9f3fa,0,70,186,12826,3,131446,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:56,2020-04-07 12:41:01
3397,7172906,dd3c23d9f3fa,0,58,198,12826,3,131459,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:40:59
3398,7171394,dd3c23d9f3fa,0,70,186,12826,3,131460,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:41:06
3399,7172935,dd3c23d9f3fa,0,58,198,12826,3,131459,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:40:59
3400,7169642,dd3c23d9f3fa,0,58,198,12826,3,131459,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:41:01
3401,7172261,dd3c23d9f3fa,0,58,198,12826,3,131459,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:41:09
3402,7173541,dd3c23d9f3fa,0,70,186,12826,3,131460,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:59,2020-04-07 12:40:59
3403,7173433,dd3c23d9f3fa,0,70,186,12826,3,131465,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:00,2020-04-07 12:41:00
3404,7170209,dd3c23d9f3fa,0,70,186,12826,3,131465,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:00,2020-04-07 12:41:03
3405,7171938,dd3c23d9f3fa,0,57,199,12826,3,131472,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:01,2020-04-07 12:41:08
3406,7174025,dd3c23d9f3fa,0,57,199,12826,3,131472,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:01,2020-04-07 12:41:01
3407,7174702,dd3c23d9f3fa,0,89,167,12826,3,131474,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:02,2020-04-07 12:41:02
3408,7171183,dd3c23d9f3fa,0,89,167,12826,3,131474,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:02,2020-04-07 12:41:05
3409,7172175,dd3c23d9f3fa,0,70,186,12826,3,131485,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:04,2020-04-07 12:41:08
3410,7175389,dd3c23d9f3fa,0,70,186,12826,3,131485,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:04,2020-04-07 12:41:04
